id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
52-19092,6,0,6,1649625386,14560311,52
52-19093,38,2,41,1649719949,14567326,52
52-19094,41,9,52,1649807481,14573870,52
52-19095,42,9,78,1649868425,14578273,52
53-19093,37,0,37,1649721089,14567428,53
53-19094,41,0,42,1649807568,14573878,53
53-19095,68,0,69,1649885083,14579531,53
53-19096,75,0,76,1649905342,14581012,53
54-19095,7,0,7,1649884080,14579459,54
54-19096,29,0,32,1649979144,14586514,54
54-19097,40,0,43,1650066277,14592967,54
54-19098,41,0,45,1650130025,14597704,54
55-19096,1,29,31,1649958668,14585010,55
55-19097,1,39,42,1650066453,14592983,55
55-19098,1,41,44,1650127706,14597523,55
56-19097,10,0,10,1650038534,14590886,56
56-19098,22,0,23,1650152738,14599377,56
56-19099,37,1,40,1650232494,14605280,56
56-19100,39,1,42,1650240354,14605912,56
57-19098,1,0,7,1650152738,14599377,57
57-19099,9,0,22,1650228490,14604984,57
57-19100,47,8,71,1650304604,14610633,57
57-19101,48,8,72,1650329510,14612481,57
58-19098,12,11,24,1650152738,14599377,58
58-19099,15,11,27,1650215469,14604012,58
58-19100,60,11,72,1650304782,14610650,58
59-19098,0,5,6,1650152738,14599377,59
59-19099,3,26,30,1650227946,14604947,59
59-19100,3,62,66,1650302041,14610457,59
60-19102,2,0,2,1650470741,14622860,60
60-19103,33,0,41,1650584121,14631244,60
60-19104,51,0,59,1650658292,14636749,60
60-19105,51,0,65,1650722421,14641487,60
61-19102,19,0,19,1650496407,14624874,61
61-19103,62,0,62,1650584648,14631287,61
61-19104,82,0,82,1650658344,14636751,61
61-19105,92,0,92,1650729232,14641985,61
6-18891,9,0,9,1632264446,13271922,6
6-18892,12,0,12,1632326595,13276511,6
6-18893,13,0,13,1632396222,13281709,6
6-18894,16,0,16,1632483120,13288258,6
62-19102,1,0,1,1650491463,14624471,62
62-19103,17,0,17,1650584885,14631304,62
62-19104,39,0,39,1650668228,14637481,62
62-19105,71,0,71,1650729232,14641985,62
63-19106,2,0,2,1650837274,14649962,63
63-19108,64,1,65,1651013985,14662913,63
63-19109,68,1,70,1651038949,14664755,63
64-19106,2,0,2,1650837006,14649945,64
64-19107,4,0,4,1650909110,14655205,64
64-19108,69,1,70,1651014305,14662944,64
64-19109,73,1,74,1651070450,14667068,64
65-19107,12,1,13,1650920943,14656089,65
65-19108,65,2,67,1651013748,14662894,65
65-19109,73,2,76,1651079713,14667805,65
67-19108,55,0,55,1651014368,14662955,67
67-19109,69,0,69,1651101234,14669332,67
67-19110,85,1,86,1651170371,14674407,67
68-19108,1,0,1,1651016653,14663113,68
68-19109,15,0,16,1651095057,14668900,68
